id,class,cap-shape,cap-surface,cap-color,odor,gill-attachment,gill-size,gill-color,stalk-shape,stalk-color-above-ring,stalk-color-below-ring,veil-color,habitat
0,p,x,s,n,p,f,n,k,e,w,w,w,u
1,e,x,s,y,a,f,b,k,e,w,w,w,g
2,e,b,s,w,l,f,b,n,e,w,w,w,m
3,p,x,y,w,p,f,n,n,e,w,w,w,u
4,e,x,s,g,n,f,b,k,t,w,w,w,g
5,e,x,y,y,a,f,b,n,e,w,w,w,g
6,e,b,s,w,a,f,b,g,e,w,w,w,m
7,e,b,y,w,l,f,b,n,e,w,w,w,m
8,p,x,y,w,,f,n,p,e,w,w,w,g
9,e,b,s,y,a,f,b,g,e,w,w,w,m
10,e,x,y,y,l,f,b,g,e,w,w,w,g
11,e,x,y,y,a,f,b,n,e,w,w,w,m
12,e,b,s,y,a,f,b,w,e,w,w,w,g
13,p,x,y,w,p,f,n,k,e,w,w,w,u
14,e,x,f,n,n,f,b,n,t,w,w,w,g
15,e,s,f,g,n,f,n,k,e,w,w,w,u
16,e,f,f,w,n,f,b,k,t,w,w,w,g
17,p,x,s,n,p,f,n,n,e,w,w,w,g
18,p,x,y,w,p,f,n,n,e,w,w,w,u
19,p,x,s,n,p,f,n,k,e,w,w,w,u
20,e,b,s,y,a,f,b,k,e,w,w,w,m
21,p,x,y,n,p,f,n,n,e,w,w,w,g
22,e,b,y,y,l,f,b,k,e,w,w,w,m
23,e,b,y,w,a,f,b,w,e,w,w,w,m
24,e,b,s,w,l,f,b,g,e,w,w,,m
25,p,f,s,w,p,f,n,n,e,w,w,w,g
26,e,x,y,y,a,f,b,n,e,w,w,w,m
27,e,x,y,w,l,f,b,w,e,w,w,w,m
28,e,f,f,n,n,f,n,k,e,w,w,w,u
29,e,x,s,y,a,f,n,n,t,w,w,w,d
30,e,b,s,y,l,f,b,g,e,w,w,w,m
31,p,x,y,w,p,f,n,k,e,w,w,w,u
32,e,x,y,y,l,f,b,n,e,w,w,w,m
33,e,x,y,n,l,f,b,p,e,w,w,w,p
34,e,b,y,y,l,f,b,n,e,w,w,w,m
35,e,x,f,y,l,f,n,w,t,w,w,w,d
36,e,s,f,g,n,f,n,k,e,w,w,w,u
37,p,x,y,n,p,f,n,w,e,w,w,w,u
38,e,x,f,y,a,f,n,p,t,w,w,w,d
39,e,b,s,y,l,f,b,k,e,w,w,w,m
40,e,b,y,y,a,f,b,n,e,w,w,w,g
41,e,x,y,y,l,f,b,n,e,w,w,w,p
42,e,x,f,n,n,f,n,g,e,w,w,w,u
43,p,x,y,w,p,f,n,p,e,w,w,w,g
44,e,x,s,y,a,f,b,w,e,w,w,w,m
45,e,x,y,w,a,f,b,n,e,w,w,w,g
46,e,x,y,y,l,f,b,k,e,w,w,w,m
47,e,x,s,w,l,f,b,w,e,w,w,w,m
48,e,x,y,y,l,f,b,n,e,w,w,w,p
49,e,f,y,y,l,f,b,w,e,w,w,w,p
50,e,x,y,n,a,f,b,w,e,w,w,w,g
51,e,x,s,w,l,f,b,k,e,w,w,w,g
52,e,b,s,w,l,f,b,k,e,w,w,w,m
53,p,x,y,n,p,f,n,k,e,w,w,w,u
54,p,x,s,w,p,f,n,k,e,w,w,w,u
55,e,b,y,y,a,f,b,w,e,w,w,w,m
56,e,f,f,g,n,f,b,n,t,w,w,w,g
57,e,b,s,w,a,f,b,w,e,w,w,w,g
58,e,x,s,y,l,f,b,k,e,,w,w,g
59,e,x,y,n,a,f,b,p,e,w,w,w,p
60,e,,f,g,n,f,n,k,e,w,w,w,u
61,e,b,y,y,a,f,b,k,e,w,w,w,m
62,e,b,s,y,l,f,b,g,e,w,w,w,m
63,e,b,y,y,l,f,b,g,e,w,w,w,m
64,e,b,y,w,l,f,b,n,e,w,w,w,g
65,e,f,s,n,n,f,b,k,t,w,w,w,g
66,e,x,s,w,l,f,b,n,e,w,w,w,g
67,e,f,y,y,a,f,b,w,e,w,w,w,g
68,e,x,y,y,a,f,b,w,e,w,w,w,g
69,e,x,f,g,n,f,n,p,e,w,w,w,u
70,e,f,f,y,l,f,n,p,t,w,w,w,d
71,e,b,y,w,l,f,b,g,e,w,w,w,m
72,e,f,f,y,l,f,n,w,t,w,w,w,d
73,e,x,y,n,a,f,b,p,e,w,w,w,p
74,e,b,s,y,a,f,b,k,e,w,w,w,g
75,e,f,s,y,l,f,n,p,t,w,w,w,d
76,e,x,s,w,l,f,n,n,t,w,w,w,d
77,e,f,y,n,l,f,b,p,e,w,w,w,p
78,p,x,y,n,p,f,n,w,e,w,w,w,u
79,e,f,y,n,a,f,b,n,e,w,w,w,g
80,e,x,s,n,n,f,b,k,t,w,w,w,g
81,p,x,y,w,p,f,n,w,e,w,w,w,g
82,e,f,f,g,n,f,n,n,e,w,w,w,u
83,e,x,f,g,n,f,b,n,t,w,w,w,g
84,e,x,y,y,l,f,b,w,e,,w,w,g
85,e,x,s,n,n,f,b,k,t,w,w,w,g
86,e,b,s,w,a,f,b,w,e,w,w,w,g
87,e,x,s,w,l,f,b,n,e,w,w,w,g
88,e,f,y,n,l,f,b,w,e,w,w,w,g
89,e,s,f,n,n,f,n,n,e,w,w,w,u
90,e,x,f,n,n,f,n,n,e,w,w,w,u
91,e,b,s,w,l,f,b,k,e,,w,w,g
92,e,x,y,y,a,f,b,g,e,w,w,w,g
93,e,x,y,y,l,f,b,g,e,w,w,w,m
94,e,x,s,n,n,f,b,n,t,w,w,w,g
95,e,x,s,w,a,f,b,g,e,w,w,w,g
96,e,f,y,n,l,f,b,p,e,w,w,w,g
97,e,x,s,y,a,f,b,n,e,w,w,w,g
98,e,b,s,w,a,f,b,g,e,w,w,w,g
99,e,x,y,w,a,f,b,g,e,w,w,w,g
100,e,x,f,n,n,f,b,p,t,w,w,w,g
101,e,b,s,y,l,f,b,n,e,w,w,w,g
102,e,f,y,y,l,f,b,w,e,w,w,w,g
103,e,x,y,y,a,f,b,n,e,w,w,w,p
104,e,b,y,w,l,f,b,g,e,w,w,w,g
105,e,x,y,y,a,f,b,n,e,w,w,w,m
106,e,x,y,y,a,f,b,w,e,w,w,w,g
107,e,b,y,w,l,f,b,n,e,w,w,w,m
108,e,b,y,w,a,f,b,g,e,w,w,w,m
109,e,x,s,y,a,f,b,k,e,w,w,w,m
110,e,x,s,y,l,f,b,w,e,w,w,w,g
111,e,s,f,g,n,f,n,g,e,w,w,w,u
112,e,x,f,w,a,f,n,w,t,w,w,w,d
113,e,x,s,y,a,f,b,n,e,w,w,w,m
114,p,x,y,w,p,f,n,n,e,w,w,w,u
115,e,x,y,y,l,f,b,p,e,w,w,w,g
116,e,s,f,g,n,f,n,p,e,w,w,w,u
117,e,x,y,y,l,f,b,w,e,w,w,w,g
118,e,x,s,y,l,f,n,p,t,w,w,w,d
119,e,s,f,n,n,f,n,k,e,w,w,w,u
120,p,x,s,w,p,f,n,k,e,w,w,w,g
121,e,x,y,w,a,f,b,g,e,w,w,w,m
122,p,f,y,n,p,f,n,p,e,w,w,w,g
123,e,f,s,g,n,f,b,k,t,w,w,w,g
124,e,x,s,y,l,f,b,g,e,w,w,w,m
125,e,x,s,w,n,f,b,n,t,w,w,w,g
126,e,b,s,y,a,f,b,w,e,w,w,w,g
127,e,f,f,g,n,f,b,h,t,w,w,w,g
128,e,x,s,w,l,f,b,n,e,w,w,w,g
129,e,b,s,w,l,f,b,n,e,w,w,w,m
130,e,b,s,w,l,f,b,w,e,w,w,w,g
131,e,b,y,w,l,f,b,w,e,w,w,w,m
