Materia,Valutazione
Italiano,10.00
Italiano,8.00
Microrobotica,9.00
Matematica,6.50
Italiano,8.50
Storia,9.25
Microrobotica,9.00
Educazione civica,9.50
Italiano,8.50
Inglese,8.75
Scienze motorie,9.50
TPSIT,8.00
GPOI,7.75
GPOI,8.50
Italiano,8.25
Educazione civica,9.25
Sistemi e Reti,6.75
Sistemi e Reti,7.00
Informatica,8.75
Informatica,8.25
Matematica,8.50
TPSIT,6.25
Matematica,7.75
TPSIT,7.00
Scienze motorie,7.50
Inglese,8.00
TPSIT,8.50
Matematica,8.00
Microrobotica,8.00
Storia,10.00
Inglese,8.25
Sistemi e Reti,8.00
GPOI,9.00
Informatica,8.50
Informatica,8.25
Educazione civica,8.25
